Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA15,OUT049,2181.2889135750315
DRC01,OUT018,2181.2889135750315
FDN15,OUT049,2181.2889135750315
FDX07,OUT010,2181.2889135750315
NCD19,OUT013,2181.2889135750315
FDP36,OUT018,2181.2889135750315
FDO10,OUT013,2181.2889135750315
FDP10,OUT027,2181.2889135750315
FDH17,OUT045,2181.2889135750315
FDU28,OUT017,2181.2889135750315
FDY07,OUT049,2181.2889135750315
FDA03,OUT046,2181.2889135750315
FDX32,OUT049,2181.2889135750315
FDS46,OUT046,2181.2889135750315
FDF32,OUT013,2181.2889135750315
FDP49,OUT046,2181.2889135750315
NCB42,OUT018,2181.2889135750315
FDP49,OUT049,2181.2889135750315
DRI11,OUT027,2181.2889135750315
FDU02,OUT035,2181.2889135750315
FDN22,OUT013,2181.2889135750315
FDW12,OUT027,2181.2889135750315
NCB30,OUT035,2181.2889135750315
FDC37,OUT019,2181.2889135750315
FDR28,OUT046,2181.2889135750315
NCD06,OUT017,2181.2889135750315
FDV10,OUT035,2181.2889135750315
DRJ59,OUT013,2181.2889135750315
FDE51,OUT010,2181.2889135750315
FDC14,OUT019,2181.2889135750315
FDV38,OUT010,2181.2889135750315
NCS17,OUT018,2181.2889135750315
FDP33,OUT018,2181.2889135750315
FDO23,OUT045,2181.2889135750315
DRH01,OUT046,2181.2889135750315
NCX29,OUT049,2181.2889135750315
FDV20,OUT027,2181.2889135750315
DRZ11,OUT018,2181.2889135750315
FDX10,OUT027,2181.2889135750315
FDB34,OUT027,2181.2889135750315
FDU02,OUT046,2181.2889135750315
FDK43,OUT013,2181.2889135750315
FDA46,OUT049,2181.2889135750315
FDC02,OUT018,2181.2889135750315
FDL50,OUT013,2181.2889135750315
FDM39,OUT010,2181.2889135750315
NCP05,OUT045,2181.2889135750315
FDV49,OUT045,2181.2889135750315
FDL12,OUT046,2181.2889135750315
FDS02,OUT019,2181.2889135750315
NCL17,OUT046,2181.2889135750315
FDM40,OUT013,2181.2889135750315
FDR13,OUT013,2181.2889135750315
FDA43,OUT017,2181.2889135750315
NCP18,OUT017,2181.2889135750315
FDK21,OUT018,2181.2889135750315
NCX54,OUT045,2181.2889135750315
DRK35,OUT049,2181.2889135750315
FDY21,OUT046,2181.2889135750315
FDI26,OUT019,2181.2889135750315
FDM20,OUT018,2181.2889135750315
FDV27,OUT045,2181.2889135750315
FDF09,OUT027,2181.2889135750315
FDY40,OUT019,2181.2889135750315
FDY45,OUT027,2181.2889135750315
FDC46,OUT010,2181.2889135750315
FDH19,OUT035,2181.2889135750315
FDZ03,OUT045,2181.2889135750315
DRH37,OUT045,2181.2889135750315
NCI17,OUT046,2181.2889135750315
FDJ58,OUT046,2181.2889135750315
FDL12,OUT013,2181.2889135750315
FDH35,OUT045,2181.2889135750315
FDG02,OUT017,2181.2889135750315
NCZ18,OUT049,2181.2889135750315
FDC29,OUT046,2181.2889135750315
FDQ10,OUT049,2181.2889135750315
FDN48,OUT019,2181.2889135750315
FDL04,OUT017,2181.2889135750315
FDV25,OUT045,2181.2889135750315
FDD58,OUT046,2181.2889135750315
FDN04,OUT046,2181.2889135750315
FDV45,OUT018,2181.2889135750315
NCL18,OUT019,2181.2889135750315
FDR12,OUT027,2181.2889135750315
FDG20,OUT017,2181.2889135750315
FDZ55,OUT035,2181.2889135750315
FDQ49,OUT027,2181.2889135750315
FDN33,OUT046,2181.2889135750315
FDN27,OUT049,2181.2889135750315
FDW20,OUT010,2181.2889135750315
DRG27,OUT049,2181.2889135750315
DRI25,OUT045,2181.2889135750315
FDA44,OUT035,2181.2889135750315
NCR17,OUT035,2181.2889135750315
FDU04,OUT019,2181.2889135750315
FDF41,OUT049,2181.2889135750315
FDB56,OUT035,2181.2889135750315
NCP18,OUT027,2181.2889135750315
FDB56,OUT046,2181.2889135750315
FDT28,OUT045,2181.2889135750315
FDD10,OUT027,2181.2889135750315
FDW57,OUT049,2181.2889135750315
DRB48,OUT013,2181.2889135750315
FDP09,OUT018,2181.2889135750315
FDH14,OUT013,2181.2889135750315
FDA47,OUT013,2181.2889135750315
FDG12,OUT045,2181.2889135750315
DRE60,OUT019,2181.2889135750315
DRK49,OUT013,2181.2889135750315
FDD03,OUT046,2181.2889135750315
FDS52,OUT017,2181.2889135750315
FDW39,OUT019,2181.2889135750315
FDX34,OUT027,2181.2889135750315
FDV11,OUT045,2181.2889135750315
FDD17,OUT049,2181.2889135750315
FDZ16,OUT017,2181.2889135750315
FDZ46,OUT035,2181.2889135750315
DRA12,OUT017,2181.2889135750315
FDY58,OUT018,2181.2889135750315
NCF19,OUT017,2181.2889135750315
DRJ13,OUT045,2181.2889135750315
FDB14,OUT010,2181.2889135750315
FDJ38,OUT035,2181.2889135750315
FDW11,OUT017,2181.2889135750315
FDL40,OUT035,2181.2889135750315
DRI49,OUT046,2181.2889135750315
FDV38,OUT017,2181.2889135750315
DRG23,OUT013,2181.2889135750315
NCP30,OUT045,2181.2889135750315
FDY25,OUT027,2181.2889135750315
NCH54,OUT046,2181.2889135750315
NCR53,OUT027,2181.2889135750315
